数据条目, 资源分类, 关键字, 国家分类, 部门分类, 时间, 提供单位, 提供地址
主要统计指标解释查询, 社会发展, 主要统计指标解释查询, 统计, 业务类, 2013-01-28, 上海市统计局, 上海市威海路48号
上海市基础测绘成果, 城市建设, 上海市基础测绘成果、产品分类、产品名称、覆盖范围、更新周期、数据格式、坐标系统、单价、备注, 城乡规划, 业务类, 2012-12-20, 上海市规划和国土资源管理局, 上海市北京西路99号
上海市历史风貌保护区, 文化休闲, 上海市历史风貌保护区, 城乡规划, 业务类, 2012-12-20, 上海市规划和国土资源管理局, 上海市北京西路99号
上海市优秀历史建筑, 文化休闲, 上海市优秀历史建筑, 城乡规划, 业务类, 2012-12-20, 上海市规划和国土资源管理局, 上海市北京西路99号
土地出让公告信息, 城市建设, 土地出让公告信息、地块公告号、地块名称、四至范围、准入产业类型、土地总面积、出让面积、容积率、建筑密度、投资强度、保证金, 土地, 业务类, 2012-12-20, 上海市规划和国土资源管理局, 上海市北京西路99号
上海食用农产品流通安全情况, 民生服务, 农产品、流通、安全, 商贸综合类, 业务类, 2012-12-07, 上海市商务委员会, 娄山关路55号
联合国贸易网点信息, 经济建设, 联合国、贸易、网点, 商贸综合类, 业务类, 2012-12-07, 上海市商务委员会, 娄山关路55号
上海市停车场位置查询, 道路交通, 停车场、位置信息, 交通运输, 业务类, 2012-11-29, 上海市交通运输和港口管理局, 武进路151号
上海市轨道周边公交, 道路交通, 轨道周边、公交站点, 交通运输, 业务类, 2012-11-28, 上海市交通运输和港口管理局, 武进路151号
营业执照公示查询, 经济建设, 工商，营业执照，查询, 工商, 业务类, 2012-11-22, 上海市工商行政管理局, 上海肇嘉浜路301号
二手房出售出租信息查询, 民生服务, 二手房, 房地产, 业务类, 2012-11-22, 上海市住房保障和房屋管理局, 大沽路100号
一手房开盘成交信息查询, 民生服务, 一手房, 房地产, 业务类, 2012-11-22, 上海市住房保障和房屋管理局, 大沽路100号

