数据条目, 资源分类, 关键字, 国家分类, 提供单位
危险废物专业运输名录, 资源环境, 危险废物、运输, 环境保护、治理, 上海市环境保护局
危险废物经营许可证名单, 资源环境, 危险废物经营许可证, 环境保护、治理, 上海市环境保护局
上市公司环保核查, 资源环境, 上市公司，环保核查, 环境保护、治理, 上海市环境保护局
建设项目环境影响评价单位, 资源环境, 建设项目，环境影响评价单位, 环境保护、治理, 上海市环境保护局
地表水水质状况, 资源环境, 地表水，水质评价, 环境污染、监测, 上海市环境保护局
全市纳税信用等级统计, 信用服务, 纳税人识别码，纳税人名称，信用等级, 税务, 上海市地方税务局
信用服务机构备案信息, 信用服务, 备案编号、单位名称、联系人、联系方式、传真、经营范围、主营业务、地址、邮编, 信息产业综合类, 上海市经济和信息化委员会
上海市技术进出口交易会亮点企业情况, 经济建设, 技术进出口、亮点企业, 综合类, 上海市商务委员会
单用途商业预付卡备案企业信息, 经济建设, 单用途商业预付卡, 国内贸易, 上海市商务委员会
再生资源回收经营企业信息, 资源环境, 再生资源、经营企业, 国内贸易, 上海市商务委员会
电力供需平衡预测, 资源环境, 日期、星期、天气、气温、预计最高负荷、最高可用出力、电力供需平衡, 电力, 上海市经济和信息化委员会
新闻出版驻沪机构, 文化休闲, 驻沪机构, 新闻出版, 上海市新闻出版局
加油站, 民生服务, 名称、地址、电话、服务内容, 企业, 上海市经济和信息化委员会
法人网上身份统一认证网点, 机构团体, 网点地址、服务时间、联系电话, 信息产业综合类, 上海市经济和信息化委员会
工业园区, 经济建设, 园区名称、地址、类型、网址、联系电话, 工业, 上海市经济和信息化委员会
部分重化行业企业名单, 经济建设, 企业名称、地址、企业性质、主要产品, 工业, 上海市经济和信息化委员会
企业技术中心认定, 经济建设, 认定总数、领域分布数量、区域分布数量, 工业, 上海市经济和信息化委员会
成品油批发和仓储企业, 经济建设, 企业名称、地址、邮编、企业性质、成品油批发仓储经营许可证编号, 工业, 上海市经济和信息化委员会
建筑从业人员行政处罚信息, 信用服务, 人员行政处罚, 城乡建设, 上海市城乡建设和管理委员会
建筑从业单位行政处罚信息, 信用服务, 行政处罚信息, 城乡建设, 上海市城乡建设和管理委员会
工商行政处罚信息, 信用服务, 工商，行政处罚, 工商, 上海市工商行政管理局
企业监管信息, 信用服务, 监管, 检验、检疫, 上海市质量技术监督局
产品质量监督抽查信息, 信用服务, 产品质量、监督抽查, 检验、检疫, 上海市质量技术监督局
食品餐饮企业监督公示信息, 信用服务, 食品、食品餐饮、企业监督公示, 医药卫生管理, 上海市食品药品监督管理局
质监行政处罚信息, 信用服务, 行政处罚, 综合类, 上海市质量技术监督局
流通领域商品监测信息, 信用服务, 工商，流通领域商品，监测, 工商, 上海市工商行政管理局
卫生监督检查信息, 信用服务, 卫生监督检查, 医药卫生管理, 上海市卫生和计划生育委员会
上海市各区县统计局联系方式, 机构团体, 区县统计局联系方式, 综合政务类, 上海市统计局
国家统计局上海调查总队各区县调查队联系方式, 机构团体, 各区、县调查队联系方式, 综合政务类, 上海市统计局
重点中央在沪企业, 经济建设, 企业名称、地址、联系电话, 企业, 上海市经济和信息化委员会
上海市企事业专利工作试点示范单位名录, 教育科技, 上海市，企事业专利工作试点示范单位，名录, 知识产权, 上海市知识产权局
上海市&ldquo;销售真牌真品，保护知识产权&rdquo;承诺单位名单, 民生服务, 销售真牌真品，保护知识产权，承诺单位名单, 知识产权, 上海市知识产权局
上海市专利统计信息, 教育科技, 专利、统计、申请、授权, 综合类, 上海市知识产权局
专利工作者培训人数, 教育科技, 专利工作者，培训人数, 知识产权, 上海市知识产权局
专利工程师人数, 教育科技, 专利工程师，人数, 知识产权, 上海市知识产权局
上海市专利代理机构名录, 教育科技, 上海市，专利代理机构，名录, 知识产权, 上海市知识产权局
全市道路运输驾驶员从业资格培训企业名录, 道路交通, 全市道路运输驾驶员从业资格培训企业名称、联系方式, 交通运输, 上海市交通委员会
全市普通机动车驾驶员培训企业名录, 道路交通, 全市普通机动车驾驶员培训企业名称、联系方式, 交通运输, 上海市交通委员会
全市道路危险货物运输企业名录, 道路交通, 全市道路危险货物运输企业名称、联系方式, 交通运输, 上海市交通委员会
全市汽车快修企业名录, 道路交通, 全市汽车快修企业名录、企业许可号号、企业名称、企业地址, 交通运输, 上海市交通委员会
上海市工程咨询单位资格名录（央企）, 经济建设, 工程咨询单位, 综合类, 上海市发展和改革委员会
上海市工程咨询单位资格名录（丙级）, 经济建设, 工程咨询单位, 综合类, 上海市发展和改革委员会
上海市工程咨询单位资格名录（甲级）, 经济建设, 工程咨询单位, 综合类, 上海市发展和改革委员会
上海市工程咨询单位资格名录（乙级）, 经济建设, 工程咨询单位, 综合类, 上海市发展和改革委员会
全市国有资产评估情况统计信息, 经济建设, 评估, 综合政务类, 上海市国有资产监督管理委员会
市国有资产统计信息, 经济建设, 地方国资总量、资产、负债、营业收入, 经济管理综合类, 上海市国有资产监督管理委员会
全社会用电量, 资源环境, 本市全社会月度用电量、分产业用电量, 电力, 上海市经济和信息化委员会
供电服务机构, 机构团体, 机构名称、地址、服务时间、服务内容、服务范围、联系电话, 工业, 上海市经济和信息化委员会
农家书屋, 文化休闲, 农家书屋, 新闻出版, 上海市新闻出版局
作品著作权登记, 文化休闲, 作品著作权, 新闻出版, 上海市新闻出版局
出版物发行单位基本信息, 文化休闲, 出版物发行, 新闻出版, 上海市新闻出版局
复制企业基本信息, 文化休闲, 复制企业, 新闻出版, 上海市新闻出版局
本市医疗机构医疗服务项目和价格, 卫生健康, 医疗卫生、价格, 物价, 上海市发展和改革委员会
危险化学品建设项目信息, 公共安全, 危险化学品建设项目, 综合政务类, 上海市安全生产监督管理局
危险化学品目录, 公共安全, 危险化学品, 综合政务类, 上海市安全生产监督管理局
危险化学品生产企业信息, 公共安全, 危化品生产许可证, 综合政务类, 上海市安全生产监督管理局
乙级安全评价机构, 公共安全, 乙级安全评价机构, 综合类, 上海市安全生产监督管理局
帮困粮油供应点信息, 民生服务, 帮困，粮油，供应点, 商贸综合类, 上海市粮食局
副补发放点信息, 民生服务, 副食品，补贴，发放点, 民政综合类, 上海市粮食局
应急零售网点信息, 民生服务, 粮油，应急，网点, 商贸综合类, 上海市粮食局
粮食收购点信息, 经济建设, 粮食，收购点, 商贸综合类, 上海市粮食局
生产性服务业功能区, 经济建设, 功能区名称、所在区县、四至范围、规划面积、批复设立时间、功能定位, 工业, 上海市经济和信息化委员会
旅游咨询中心, 文化休闲, 旅游，咨询服务中心, 旅游, 上海市旅游局
侨务引智引资创业服务点信息, 经济建设, 创业服务, 综合类, 上海市人民政府侨务办公室
华侨事务受理信息, 民生服务, 事务受理, 综合类, 上海市人民政府侨务办公室
市政府侨办行政权力清单, 民生服务, 行政权力, 综合类, 上海市人民政府侨务办公室
各区县侨办基本信息, 机构团体, 机构, 综合类, 上海市人民政府侨务办公室
旅游集散中心, 文化休闲, 旅游，集散, 旅游, 上海市旅游局
上海市船舶过闸收费信息, 道路交通, 收费区县、通航水闸数量、过闸船舶吨位、过闸船舶数量、过闸收入, 水利, 上海市水务局
设施附件类数据, 城市建设, 附件数据, 水利, 上海市水务局
区县水务行政审批业务受理管理信息, 资源环境, 水务、区县、行政审批、报表, 水利, 上海市水务局
道路积水自动监测站点信息, 资源环境, 名称、地址, 综合类, 上海市水务局
上海旅游统计数据-旅行社国内旅游组团人数和接待人数（人次）, 文化休闲, 旅行社国内旅游组团人数和接待人数, 旅游, 上海市旅游局
上海旅游统计数据-旅行社组织出境旅游人数（人次）, 文化休闲, 旅行社组织出境旅游人数（人次），, 旅游, 上海市旅游局
上海旅游统计数据-旅行社外联、接待入境旅游人数（人次）, 文化休闲, 旅行社外联、接待入境旅游人数（人次）, 旅游, 上海市旅游局
废弃电器电子产品处理资格证书名单, 资源环境, 电子废物、处置单位, 环境保护、治理, 上海市环境保护局
上海旅游统计数据-旅游饭店客房平均出租率和平均房价, 文化休闲, 旅游饭店客房平均出租率和平均房价, 旅游, 上海市旅游局
上海旅游统计数据-入境外国人按主要客源国分（人次）, 文化休闲, 入境外国人按主要客源国分（人次）, 旅游, 上海市旅游局
上海旅游统计数据-本市接待入境旅游者人数（人次）, 文化休闲, 本市接待入境旅游者人数, 旅游, 上海市旅游局
集中式供水单位卫生许可信息, 卫生健康, 供水集中式许可卫生, 医药卫生管理, 上海市卫生和计划生育委员会
全市消费维权点分布数据, 机构团体, 消费维权点，地址, 工商, 上海市工商行政管理局
上海市著名商标公告数据, 民生服务, 著名商标、公告, 工商, 上海市工商行政管理局
技术合同认定登记信息, 教育科技, 科技技术合同认定登记, 科技管理, 上海市科学技术委员会
实验动物许可证发证, 教育科技, 科技、实验动物、生产、使用、许可证, 科技管理, 上海市科学技术委员会
著作权合同备案, 文化休闲, 著作权合同, 新闻出版, 上海市新闻出版局
危化品经营许可证, 公共安全, 危化品经营许可证, 综合政务类, 上海市安全生产监督管理局
检测检验机构, 公共安全, 检测检验机构, 综合政务类, 上海市安全生产监督管理局
职业卫生技术服务机构, 公共安全, 职业卫生技术服务机构, 综合政务类, 上海市安全生产监督管理局
中外合作职业技能培训机构信息, 社会发展, 中外合作、职业技能培训机构, 劳动人事综合类, 上海市人力资源和社会保障局
人力资源社会保障相关统计数据（年报）, 社会发展, 人力资源社会保障、统计, 劳动人事综合类, 上海市人力资源和社会保障局
人力资源社会保障相关统计数据（半年报）, 社会发展, 人力资源社会保障、统计、半年, 劳动人事综合类, 上海市人力资源和社会保障局
涉外调查许可证信息, 经济建设, 涉外调查许可证信息, 统计, 上海市统计局
本市当年度有效的见习基地信息, 社会发展, 见习基地、名称、地址、联系电话, 劳动人事综合类, 上海市人力资源和社会保障局
人才中介服务机构信息, 社会发展, 人才中介、单位名称、地址、联系电话, 劳动人事综合类, 上海市人力资源和社会保障局
示范性家政服务站名单, 民生服务, 示范性家政服务站名单, 综合类, 上海市妇女联合会
妇联基层组织信息表, 机构团体, 妇联基层, 综合类, 上海市妇女联合会
母婴保健技术服务执业许可信息, 卫生健康, 母婴保健技术服务执业许可, 医药卫生管理, 上海市卫生和计划生育委员会
母婴保健机构服务人员资格许可信息, 卫生健康, 母婴保健机构服务人员资格许可信息, 医药卫生管理, 上海市卫生和计划生育委员会
港澳医务人员执业许可信息, 卫生健康, 医务人员港澳执业许可, 医药卫生管理, 上海市卫生和计划生育委员会
放射诊疗许可信息, 卫生健康, 放射诊疗许可, 医药卫生管理, 上海市卫生和计划生育委员会
上海采供血机构, 卫生健康, 采供血, 医药卫生管理, 上海市卫生和计划生育委员会
上海市社区智慧微菜场名单信息, 民生服务, 智慧微菜场, 国内贸易, 上海市商务委员会
本市各类会展信息, 经济建设, 会展, 商贸综合类, 上海市商务委员会
应急避难场所信息, 公共安全, 应急避难场所, 综合政务类, 上海市民防办公室
上海市第三次经济普查主要数据公报（第一号）, 经济建设, 上海市第三次经济普查主要数据公报（第一号）, 统计, 上海市统计局
上海市第三次经济普查主要数据公报（第三号）, 经济建设, 上海市第三次经济普查主要数据公报（第三号）, 统计, 上海市统计局
人防工程防护设备定点企业信息, 公共安全, 人防工程防护设备企业, 综合政务类, 上海市民防办公室
区县统计局制订的专项（一次性）调查项目信息, 经济建设, 区县统计局制订的专项（一次性）调查项目信息, 统计, 上海市统计局
上海市第三次经济普查主要数据公报（第二号）, 经济建设, 上海市第三次经济普查主要数据公报（第二号）, 统计, 上海市统计局
市级政府部门统计调查项目信息, 经济建设, 市级政府部门统计调查项目信息, 统计, 上海市统计局
区县统计局批准的区县级政府部门统计调查项目, 经济建设, 区县统计局批准的区县级政府部门统计调查项目, 统计, 上海市统计局
上海市技术先进型服务企业名单, 经济建设, 科技技术先行型企业名单, 科技管理, 上海市科学技术委员会
市场主体发展统计数据, 经济建设, 工商，市场主体，统计, 工商, 上海市工商行政管理局
总集成总承包领域专项资金分配结果, 经济建设, 2014、总集成总承包、专项资金、分配, 工业, 上海市经济和信息化委员会
燃煤（重油）锅炉清洁能源替代领域专项资金分配结果, 经济建设, 2014、燃煤、锅炉、清洁能源替代、专项资金、分配, 工业, 上海市经济和信息化委员会
