数据条目, 资源分类, 关键字, 国家分类, 提供单位
新型建设工程材料信息, 城市建设, 证书编号、企业名称、材料名称, 城乡建设, 上海市城乡建设和管理委员会
税务师事务所, 经济建设, 税务师事务所，地址，邮编，成立时间，姓名，联系方式, 税务, 上海市地方税务局
非正常户信息, 经济建设, 纳税人识别码，名称，法定代表人，认定日期，主管税务机关, 税务, 上海市地方税务局
上海市税务局零散税收委托征管代征人清册, 经济建设, 名称，地址，电话，时间, 税务, 上海市地方税务局
上海用于联合惩戒的重大税收违法案件信息汇总, 经济建设, 纳税人基础信息，涉税信息，涉案信息, 税务, 上海市地方税务局
上海市各区县房地产交易中心税务窗口, 机构团体, 地址、电话、对外服务时间、税务机关, 税务, 上海市地方税务局
医患纠纷人民调解委员会, 卫生健康, 医患纠纷人民调解委员会, 政法综合类, 上海市司法局
社区矫正中心, 公共安全, 社区矫正中心, 政法综合类, 上海市司法局
注册建筑师执业资格信息, 教育科技, 注册建筑师执业资格, 城乡建设, 上海市城乡建设和管理委员会
注册建造师执业资格信息, 教育科技, 注册建造师执业资格, 城乡建设, 上海市城乡建设和管理委员会
二手车交易信息, 道路交通, 二手车, 国内贸易, 上海市商务委员会
二手车鉴定评估机构, 道路交通, 二手车, 国内贸易, 上海市商务委员会
注册结构工程师信息, 教育科技, 注册结构工程师, 城乡建设, 上海市城乡建设和管理委员会
区县商务主管部门基本信息, 机构团体, 商务主管部门, 经贸管理, 上海市商务委员会
粮油仓储设施信息, 经济建设, 粮油，仓储，设施, 商贸综合类, 上海市粮食局
粮油加工企业信息, 经济建设, 粮油，加工，企业, 商贸综合类, 上海市粮食局
粮食批发市场信息, 经济建设, 粮食，批发，市场, 商贸综合类, 上海市粮食局
上海市国家级生态镇信息, 资源环境, 国家级生态镇, 城乡建设与环境保护综合类, 上海市环境保护局
医疗器械召回信息, 卫生健康, 医疗器械、医疗器械召回, 医药卫生管理, 上海市食品药品监督管理局
获GMP认证证书企业信息, 卫生健康, GMP证书，药品经营，企业, 医药卫生管理, 上海市食品药品监督管理局
保健食品生产单位信息, 卫生健康, 保健食品，企业, 医药卫生管理, 上海市食品药品监督管理局
水域保洁企业信息, 城市建设, 企业名称，单位地址，邮编, 城乡建设与环境保护综合类, 上海市绿化和市容管理局
花园单位信息, 城市建设, 区县，单位名称，命名时间, 综合类, 上海市绿化和市容管理局
公园活动情况, 文化休闲, 公园名称、活动内容（地址、交通等）、活动名称、活动日期, 文体综合类, 上海市绿化和市容管理局
上海市监察系统单位信息, 机构团体, 上海，监察，地址，电话, 综合类, 上海市监察局
采矿许可证审批, 资源环境, 采矿许可证审批, 矿藏, 上海市规划和国土资源管理局
矿产资源勘查许可证审批与地质调查项目登记, 资源环境, 矿产资源勘查许可证审批与地质调查项目登记, 矿藏, 上海市规划和国土资源管理局
《建设项目选址意见书》审批, 城市建设, 《建设项目选址意见书》审批, 城乡规划, 上海市规划和国土资源管理局
核定规划条件, 城市建设, 核定规划条件, 城乡规划, 上海市规划和国土资源管理局
《建设用地规划许可证》审批, 城市建设, 《建设用地规划许可证》审批, 城乡规划, 上海市规划和国土资源管理局
建设工程设计方案审批, 城市建设, 建设工程设计方案审批, 城乡规划, 上海市规划和国土资源管理局
《建设工程规划许可证》审批, 城市建设, 《建设工程规划许可证》审批, 城乡规划, 上海市规划和国土资源管理局
《建设项目选址意见书》（市政类）审批, 城市建设, 《建设项目选址意见书》（市政类）审批, 城乡规划, 上海市规划和国土资源管理局
《建设工程规划设计要求》（市政类）审批, 城市建设, 《建设工程规划设计要求》（市政类）审批, 城乡规划, 上海市规划和国土资源管理局
《建设工程规划设计方案》（市政类）审批, 城市建设, 《建设工程规划设计方案》（市政类）审批, 城乡规划, 上海市规划和国土资源管理局
《建设用地规划许可证》（市政类）审批, 城市建设, 《建设用地规划许可证》（市政类）审批, 城乡规划, 上海市规划和国土资源管理局
《建设用地规划许可证（市政类临时）》审批, 城市建设, 《建设用地规划许可证（市政类临时）》审批, 城乡规划, 上海市规划和国土资源管理局
《建设工程规划许可证》（市政交通）审批, 城市建设, 《建设工程规划许可证》（市政交通）审批, 城乡规划, 上海市规划和国土资源管理局
建筑工程竣工规划验收, 城市建设, 建筑工程竣工规划验收, 城乡规划, 上海市规划和国土资源管理局
一书两证的延期（市政类）, 城市建设, 一书两证的延期（市政类）, 城乡规划, 上海市规划和国土资源管理局
建筑工程开工放样复验, 城市建设, 建筑工程开工放样复验, 城乡规划, 上海市规划和国土资源管理局
建设项目用地预审（市批）, 城市建设, 建设项目用地预审（市批）, 城乡规划, 上海市规划和国土资源管理局
《临时建设工程规划许可证》审批, 城市建设, 《临时建设工程规划许可证》审批, 城乡规划, 上海市规划和国土资源管理局
上海市优秀学术/技术带头人计划项目资助人员名单, 教育科技, 科技学术技术带头人项目资助人员名单, 科技管理, 上海市科学技术委员会
司法鉴定人, 社会发展, 司法鉴定人, 司法, 上海市司法局
浦江人才计划资助人员名单, 教育科技, 科技浦江人才计划人员名单, 科技管理, 上海市科学技术委员会
人民调解委员会, 社会发展, 司法鉴定机构, 政法综合类, 上海市司法局
食品经营单位信息-食品流通企业, 卫生健康, 食品经营，食品流通，企业, 医药卫生管理, 上海市食品药品监督管理局
焚烧厂信息, 城市建设, 区县，地址, 城乡建设, 上海市绿化和市容管理局
食品经营单位信息-餐饮企业, 卫生健康, 食品经营，食品餐饮，企业, 医药卫生管理, 上海市食品药品监督管理局
污水处理设施信息, 资源环境, 单位名称、厂址、上级主管部门、设计规模(万m3/日)、年处理水量(万m3)、填表日期, 综合类, 上海市水务局
经市教委批准校外学习中心清单, 教育科技, 校外学习, 教育, 上海市教育委员会
上海市市奖学金分配信息, 教育科技, 奖学金, 教育, 上海市教育委员会
上海市国家励志奖学金分配信息, 教育科技, 奖学金, 教育, 上海市教育委员会
排水防汛应急类信息（防汛队伍）, 资源环境, 抢险范围、组成单位，队长，集结地点, 水利, 上海市水务局
全市林荫道情况, 文化休闲, 道路，路段, 城乡建设与环境保护综合类, 上海市绿化和市容管理局
生活垃圾无害化处理场信息, 城市建设, 区县，地址, 城乡建设, 上海市绿化和市容管理局
消防技术服务机构资质信息, 公共安全, 消防技术服务机构, 公安, 上海市公安局
无公害、绿色、有机农产品认证, 民生服务, 无公害，绿色，有机, 农业, 上海市农业委员会
上海市批准的农作物种子检验员信息, 教育科技, 农作物、种子、检验员, 农业, 上海市农业委员会
上海市农作物种子经营许可信息, 经济建设, 农作物、种子、经营, 农业, 上海市农业委员会
典当企业信息, 经济建设, 典当企业, 国内贸易, 上海市商务委员会
拍卖资质企业信息, 经济建设, 拍卖资质企业, 国内贸易, 上海市商务委员会
上海市农作物种子生产许可信息表, 经济建设, 农作物、种子、生产, 农业, 上海市农业委员会
上海市休闲垂钓场所信息, 文化休闲, 休闲垂钓, 渔业, 上海市农业委员会
下立交积水自动监测站点信息, 资源环境, 名称、地址、管理单位、养护单位、运营单位、产权单位, 综合类, 上海市水务局
排水防汛应急类信息（物资）, 资源环境, 储备点名称、储备点地址、联系人、电话、备注, 综合类, 上海市水务局
排水防汛应急类信息（设备）, 资源环境, 设备类别，品牌，数量, 综合类, 上海市水务局
旧区改造信息, 城市建设, 旧区改造, 城乡建设, 上海市城乡建设和管理委员会
海洋经济统计数据, 资源环境, 海洋经济，分析评估，统计信息, 统计, 上海市水务局
活禽定点零售交易点信息, 民生服务, 活禽定点零售交易点, 国内贸易, 上海市商务委员会
上海农村土地承包经营权流转管理服务中心, 机构团体, 土地，承包，流转, 农业, 上海市农业委员会
节水型企业（单位）信息, 资源环境, 企业（单位）名称，获评年度, 水利, 上海市水务局
企业用自来水水价信息, 资源环境, 执行时间，水价，适用范围, 水利, 上海市水务局
区县计划用水办公室信息, 资源环境, 名称，所属区县，地址，联系人, 水利, 上海市水务局
市属计划用水办事站点信息, 资源环境, 站点名称，地址，联系电话, 水利, 上海市水务局
节水型小区信息, 资源环境, 节水型，小区名称，获评年度, 水利, 上海市水务局
获GSP认证证书企业信息, 卫生健康, GSP证书，药品经营，企业, 医药卫生管理, 上海市食品药品监督管理局
药品、医疗器械第三方物流企业信息, 卫生健康, 药品、医疗器械第三方物流，企业, 医药卫生管理, 上海市食品药品监督管理局
集体用餐配送单位信息, 卫生健康, 集体用餐配送单位，企业, 医药卫生管理, 上海市食品药品监督管理局
印章承刻企业信息, 公共安全, 印章承刻企业, 公安, 上海市公安局
上海市优良种猪登记结果, 经济建设, 种猪, 畜牧业, 上海市农业委员会
上海市科技型中小企业技术创新资金项目信息, 教育科技, 科技中小企业创新资金项目, 科技管理, 上海市科学技术委员会
技术合同认定登记处基本信息, 教育科技, 科技技术合同认定登记处, 科技管理, 上海市科学技术委员会
上海市专业技术职务任职资格评审通过人员信息, 教育科技, 专业职称、评审、通过, 农业, 上海市农业委员会
农产品地理标志\t\t\t\t, 经济建设, 农产品、地理标志, 农业, 上海市农业委员会
上海市国家大学科技园, 教育科技, 科技大学科技园, 科教综合类, 上海市科学技术委员会
市级以上农业产业化重点龙头企业, 经济建设, 农业、重点龙头企业, 农业, 上海市农业委员会
上海市高新技术企业名单, 经济建设, 科技高新技术企业, 科技管理, 上海市科学技术委员会
烟火燃放单位资质信息, 公共安全, 烟火燃放单位, 公安, 上海市公安局
客运、轮渡码头及周边相关道路交通违法受理窗口信息, 道路交通, 客运、轮渡码头、交通违法受理窗口, 公安, 上海市公安局
上海市区县审计局信息, 机构团体, 审计区县联系地址, 审计, 上海市审计局
上海市城镇居民最低生活保障情况汇总表, 民生服务, 月上海市城镇居民最低生活保障情况汇总表1, 民政, 上海市民政局
上海市农村居民最低生活保障情况汇总表, 民生服务, 上海市农村居民最低生活保障情况, 民政, 上海市民政局
国家级产业化基地, 经济建设, 科技产业化基地, 科技管理, 上海市科学技术委员会
国家及上海市科技企业孵化器基本信息, 经济建设, 科技企业孵化器, 科技管理, 上海市科学技术委员会
上海农家乐旅游点信息, 文化休闲, 农家乐, 服务业, 上海市农业委员会
本市中心城区犬类管理信息, 民生服务, 宠物、诊所、, 畜牧业, 上海市农业委员会
上海市审计局审计结果公告, 经济建设, 审计结果, 审计, 上海市审计局
上海市审计局重点审计项目计划, 经济建设, 审计项目计划, 审计, 上海市审计局
关于市本级预算执行和其他财政收支的审计工作报告, 经济建设, 审计工作报告, 审计, 上海市审计局
关于审计整改情况的报告, 经济建设, 审计整改报告, 审计, 上海市审计局
上海市审计工作成果, 经济建设, 审计成果, 审计, 上海市审计局
食品相关产品生产许可获证企业信息, 卫生健康, 食品相关，生产许可证，获证企业, 综合类, 上海市质量技术监督局
全国社会工作者职业水平评价考试情况（上海）, 社会发展, 全国社会工作者职业水平评价考试情况（上海）, 民政, 上海市民政局
省际客运企业, 道路交通, 省际客运企业, 交通运输, 上海市交通委员会
驾驶员培训企业, 道路交通, 驾驶员培训企业, 交通运输, 上海市交通委员会
危险品运输企业, 道路交通, 危险品运输企业, 交通运输, 上海市交通委员会
普通货运企业, 道路交通, 普通货运企业, 交通运输, 上海市交通委员会
搬场运输企业, 道路交通, 搬场运输企业, 交通运输, 上海市交通委员会
货运出租企业信息, 道路交通, 货运出租企业信息, 交通运输, 上海市交通委员会
集装箱运输企业, 道路交通, 集装箱运输企业, 交通运输, 上海市交通委员会
资质认定（计量认证）获证机构信息, 经济建设, 资质认定，计量认证，获证机构, 综合类, 上海市质量技术监督局
计量校准实验室信息, 经济建设, 计量校准实验室，实验室, 综合类, 上海市质量技术监督局
社会公正计量行（站）信息, 机构团体, 社会公正，计量行，计量站, 综合类, 上海市质量技术监督局
重要工业产品生产许可证核发信息, 经济建设, 重要工业产品，生产许可，核发, 综合类, 上海市质量技术监督局
法定计量检定机构信息, 经济建设, 法定计量检定，机构信息, 综合类, 上海市质量技术监督局
教育部予以资格认定的自费出国留学中介机构清单（上海）, 教育科技, 自费出国留学中介, 教育, 上海市教育委员会
教育收费信息, 教育科技, 教育收费, 教育, 上海市教育委员会
上海市区县教育局清单, 教育科技, 区县教育局, 教育, 上海市教育委员会
市政府法制办公告2015年第1号, 社会发展, 规范性文件, 综合类, 上海市人民政府法制办公室
燃气企业、器具信息, 城市建设, 燃气企业，燃气器具, 城乡建设, 上海市城乡建设和管理委员会
建材备案部门基本信息, 城市建设, 名称、电话、地址, 城乡建设, 上海市城乡建设和管理委员会
上海市人民政府法制办公室主要职能, 社会发展, 职能, 综合类, 上海市人民政府法制办公室
2015年上海市人民政府法制办公室预算编制说明, 社会发展, 预算编制说明, 综合类, 上海市人民政府法制办公室
2015年度法制办财务表, 社会发展, 财, 综合类, 上海市人民政府法制办公室
重大工程项目信息, 城市建设, 重大工程、重大市政设施, 城乡建设与环境保护综合类, 上海市城乡建设和管理委员会
2015年上海市人民政府法制办公室部门&ldquo;三公&rdquo;经费预算说明, 社会发展, 预算说明, 综合类, 上海市人民政府法制办公室
保安服务业信息, 公共安全, 保安服务业, 公安, 上海市公安局
全市典当企业信息, 民生服务, 典当企业, 公安, 上海市公安局
生产性废旧金属回收企业信息, 资源环境, 废旧金属回收, 公安, 上海市公安局
营业性射击场信息, 文化休闲, 营业性射击场, 公安, 上海市公安局
公安局登记备案的机动车检测场信息, 道路交通, 机动车检测场, 公安, 上海市公安局
涉及公民权利义务的公安机关规范性文件信息, 民生服务, 公民权利义务、规范性文件, 公安, 上海市公安局
全市交通事故多发道路信息, 道路交通, 事故多发道路, 公安, 上海市公安局
内河船舶户牌及船民证办理点信息, 民生服务, 船舶户牌、船民证, 公安, 上海市公安局
全市出入境中介机构信息, 机构团体, 出入境、中介, 公安, 上海市公安局
市定价目录, 民生服务, 政府定价, 综合政务, 上海市发展和改革委员会
市属殡仪馆主要收费项目和标准, 民生服务, 收费项目, 民政综合类, 上海市发展和改革委员会
各类公办学校主要教育收费, 教育科技, 教育收费, 物价, 上海市发展和改革委员会
上海市2015年市本级一般公共预算支出预算数据, 经济建设, 市本级、一般公共预算、支出、预算, 财政, 上海市财政局
上海市2015年市本级政府性基金支出预算数据, 经济建设, 市本级、政府性基金、支出、预算, 财政, 上海市财政局
上海市2014年市本级政府性基金支出决算数据, 经济建设, 市本级、政府性基金、支出、决算, 财政, 上海市财政局
上海市2014年市本级一般公共预算支出决算数据, 经济建设, 市本级、一般公共预算、支出、决算, 财政, 上海市财政局
募捐组织信息（公募基金会）, 机构团体, 募捐组织, 民政, 上海市民政局
认建认养信息, 民生服务, 区域，可认建认养地块（树木），面积，棵树，联系电话，联系人, 城乡建设与环境保护综合类, 上海市绿化和市容管理局
福利企业信息公示, 经济建设, 福利企业, 民政, 上海市民政局
经批准的募捐活动信息, 民生服务, 募捐, 民政, 上海市民政局
婚姻收养登记机关信息, 民生服务, 婚姻, 民政, 上海市民政局
&ldquo;双特&rdquo;涉老行业受理部门, 民生服务, 双特、涉老行业, 民政, 上海市民政局
工程渣土运输服务企业信息, 城市建设, 企业名称, 城乡建设与环境保护综合类, 上海市绿化和市容管理局
上海市出境游旅行社信息, 文化休闲, 出境旅游业务资质的旅行社, 旅游, 上海市旅游局
上海赴台旅行社信息, 文化休闲, 赴台旅行社, 旅游, 上海市旅游局
上海市A级旅游景区最大承载量, 文化休闲, A级旅游景区，日最大承载量，瞬时最大承载量, 旅游, 上海市旅游局
全市社区旅游信息服务点信息, 文化休闲, 社区旅游信息服务点，街道，地址, 旅游、服务业综合类, 上海市旅游局
生活垃圾中转站信息, 城市建设, 区县，地址, 城乡建设, 上海市绿化和市容管理局
清道工人作息场所信息, 城市建设, 区县，地址, 城乡建设, 上海市绿化和市容管理局
倒粪站信息, 城市建设, 区县，地址, 城乡建设, 上海市绿化和市容管理局
化粪池信息, 城市建设, 区县，地址, 城乡建设, 上海市绿化和市容管理局
生活垃圾收集点信息, 民生服务, 区县，地址, 城乡建设, 上海市绿化和市容管理局
珍惜动植物学信息, 教育科技, 学名、拉丁学名、所属科目、保护级别, 科教综合类, 上海市绿化和市容管理局
城市普通地下室信息, 城市建设, 普通地下室，工程名称，工程地址, 城乡建设, 上海市城乡建设和管理委员会
科学技术奖信息, 教育科技, 上海科技奖励清单, 科研工作, 上海市科学技术委员会
科普教育基地信息, 教育科技, 上海科技科普基地, 科教综合类, 上海市科学技术委员会
残疾人辅助器具服务点信息, 民生服务, 服务社名称联系地址联系人联系电话, 综合类, 
残疾车修理点信息, 民生服务, 单位名称地址负责人电话所属区县, 综合类, 
&ldquo;阳光基地&rdquo;信息, 民生服务, 机构名称地址联系电话联系人所属区县, 综合类, 
&ldquo;阳光之家&rdquo;信息, 民生服务, 机构名称、地址、联系电话、联系人、所属区县, 综合类, 
残疾人就业服务机构信息\t\t\t\t\t, 机构团体, 名称地址联系电话联系人所属区县, 综合类, 
残联机构信息, 机构团体, 名称、地址、联系电话, 综合类, 
&ldquo;阳光心园&rdquo;信息, 民生服务, 名称地址联系电话联系人所属区县, 综合类, 
残疾人康复中心信息, 民生服务, 名称地址联系电话联系人所属区县, 综合类, 
建筑相关行业协会信息, 城市建设, 建筑，协会, 城乡建设, 上海市城乡建设和管理委员会
初步设计审批单位信息, 城市建设, 初步设计, 城乡建设, 上海市城乡建设和管理委员会
残疾人康复服务指导站信息, 民生服务, 名称地址联系电话联系人所属区县, 综合类, 
电子信息制造领域行业协会, 机构团体, 协会名称、地址、服务内容、联系电话、会员单位, 信息产业综合类, 上海市经济和信息化委员会
场馆开放信息, 文化休闲, 场馆信息, 体育, 上海市体育局
体育机构, 文化休闲, 体育机构, 体育, 上海市体育局
上海市学校体育设施对外开放情况, 文化休闲, 体育设施，对外开放, 体育, 上海市体育局
上海市公益性健身场所, 文化休闲, 公益性健身场所、健身苑点, 体育, 上海市体育局
百姓健身步道信息, 文化休闲, 百姓健身步道, 体育, 上海市体育局
体育传统项目学校基本信息, 教育科技, 体育，传统项目，学校, 体育, 上海市体育局
区级体质监测指导中心信息, 卫生健康, 体质监测, 体育, 上海市体育局
社区百姓健身房信息, 文化休闲, 百姓健身房, 体育, 上海市体育局
百姓游泳池信息, 文化休闲, 百姓游泳池, 体育, 上海市体育局
社区公共运动场设施信息, 文化休闲, 社区，公共运动场, 体育, 上海市体育局
体彩销售点信息, 文化休闲, 体彩，销售点, 体育, 上海市体育局
各项体育运动记录信息, 文化休闲, 运动记录, 体育, 上海市体育局
农民体育健身工程, 文化休闲, 农民、体育健身, 体育, 上海市体育局
内资企业设立登记公告数据, 经济建设, 内资企业设立登记公告数据, 工商, 上海市工商行政管理局
上海各主要国家贸易经济数据, 经济建设, 主要国家、贸易、经济、数据, 商贸综合类, 上海市商务委员会
公交线路首末班车时间, 道路交通, 公交线路、首班车、末班车，时刻表, 交通运输, 上海市交通委员会
1978年以来社会消费品零售总额及其增长速度, 经济建设, 1978年以来社会消费品零售总额及其增长速度, 统计, 上海市统计局
勘察企业资质, 城市建设, 勘察、资质, 城乡建设, 上海市城乡建设和管理委员会
上海农村居民家庭收支情况, 经济建设, 农村城市居民收入、支出, 统计, 上海市统计局
上海社会消费品零售总额及其增长速度, 经济建设, 按销售地区分的零售总额, 统计, 上海市统计局
上海固定资产投资及增速, 经济建设, 固定资产投资、增速, 统计, 上海市统计局
上海轻重工业总产值, 经济建设, 轻、重工业总产值, 统计, 上海市统计局
上海人均生产总值统计, 经济建设, 人均生产总值, 统计, 上海市统计局
近三年货物运输总量（月度）, 经济建设, 近三年货物运输总量（月度）, 统计, 上海市统计局
1978年以来居民消费价格指数, 经济建设, 1978年以来居民消费价格指数, 统计, 上海市统计局
1978年以来固定资产投资及其增长速度, 经济建设, 1978年以来固定资产投资及其增长速度, 统计, 上海市统计局
1978年以来社会消费品零售总额按用途分类, 经济建设, 1978年以来社会消费品零售总额按用途分类, 统计, 上海市统计局
上海对外贸易经营者备案登记情况, 经济建设, 对外贸易经营者、备案登记, 对外贸易, 上海市商务委员会
1978年以来固定资产投资按经济类型分, 经济建设, 1978年以来固定资产投资按经济类型分, 统计, 上海市统计局
上海全社会固定资产投按管理渠道分, 经济建设, 基本建设、更新改造等固定资产投资, 统计, 上海市统计局
工程设计中标信息, 城市建设, 工程，设计，中标, 城乡建设, 上海市城乡建设和管理委员会
主要年份上海市生产总值按所有制分, 经济建设, 主要年份上海市生产总值按所有制分, 统计, 上海市统计局
第六次人口普查10%人口普查数据就业人口分行业文化构成, 社会发展, 第六次人口普查10%人口普查数据就业人口分行业文化构成, 统计, 上海市统计局
第六次人口普查10%人口普查数据就业人口行业分布, 社会发展, 第六次人口普查10%人口普查数据就业人口行业分布, 统计, 上海市统计局
第六次人口普查10%人口普查数据就业人口职业分布, 社会发展, 第六次人口普查10%人口普查数据就业人口职业分布, 统计, 上海市统计局
第六次人口普查10%人口普查数据就业人口年龄构成, 社会发展, 第六次人口普查10%人口普查数据就业人口年龄构成, 统计, 上海市统计局
1978年以来上海市生产总值（支出法）, 经济建设, 1978年以来上海市生产总值（支出法）, 统计, 上海市统计局
1978年以来商品零售价格指数, 经济建设, 1978年以来商品零售价格指数, 统计, 上海市统计局
1978年以来上海市生产总值比上年增长, 经济建设, 1978年以来上海市生产总值比上年增长, 统计, 上海市统计局
1978年以来人口密度和户籍人口期望寿命及户数、人口, 社会发展, 1978年以来人口密度和户籍人口期望寿命及户数、人口, 统计, 上海市统计局
1978年以来全员劳动生产率, 经济建设, 1978年以来全员劳动生产率, 统计, 上海市统计局
各时期社会经济主要指标, 经济建设, 各时期社会经济主要指标, 统计, 上海市统计局
1978年以来社会消费品零售总额按行业分类, 经济建设, 1978年以来社会消费品零售总额按行业分类, 统计, 上海市统计局
各行业所有制职工人数, 社会发展, 各行业所有制职工人数, 统计, 上海市统计局
1978年以来社会消费品零售总额按经济类型分, 经济建设, 1978年以来社会消费品零售总额按经济类型分, 统计, 上海市统计局
1980年以来农村居民家庭生活基本情况, 社会发展, 1980年以来农村居民家庭生活基本情况, 统计, 上海市统计局
1980年以来城市居民家庭生活基本情况, 经济建设, 1980年以来城市居民家庭生活基本情况, 统计, 上海市统计局
1978年以来生产总值构成, 经济建设, 1978年以来生产总值构成, 统计, 上海市统计局
1978年以来居民消费水平及指数, 经济建设, 1978年以来居民消费水平及指数, 统计, 上海市统计局
1978年以来生产总值收入法项目, 经济建设, 1978年以来生产总值收入法项目, 统计, 上海市统计局
1978年以来生产总值收入法项目构成, 经济建设, 1978年以来生产总值收入法项目构成, 统计, 上海市统计局
上海社会经济主要指标占全国比重, 经济建设, 上海社会经济主要指标占全国比重, 统计, 上海市统计局
1978年以来生产总值指数, 经济建设, 1978年以来生产总值指数, 统计, 上海市统计局
1978年以来居民消费价格指数分类别, 经济建设, 1978年以来居民消费价格指数分类别, 统计, 上海市统计局
1978年以来住宅投资和竣工建筑面积, 城市建设, 1978年以来住宅投资和竣工建筑面积, 统计, 上海市统计局
全社会各行业从业人员, 社会发展, 全社会各行业从业人员, 统计, 上海市统计局
1978年以来建筑业总产值、全员劳动生产率等主要指标, 经济建设, 1978年以来建筑业总产值、全员劳动生产率等主要指标, 统计, 上海市统计局
1978年以来最终消费支出及构成, 经济建设, 1978年以来最终消费支出及构成, 统计, 上海市统计局
1978年以来资本形成总额和指数, 经济建设, 1978年以来资本形成总额和指数, 统计, 上海市统计局
上海市人均生产总值, 经济建设, 上海市人均生产总值, 统计, 上海市统计局
历次人口普查数据, 社会发展, 历次人口普查数据, 统计, 上海市统计局
主要年份旅游产业增加值, 经济建设, 主要年份旅游产业增加值, 统计, 上海市统计局
上海市生产总值按产业分, 经济建设, 上海市生产总值按产业分, 统计, 上海市统计局
主要年份城镇登记失业人数和城镇登记失业率, 经济建设, 主要年份城镇登记失业人数和城镇登记失业率, 统计, 上海市统计局
国民经济主要指标比上年增长, 经济建设, 国民经济主要指标比上年增长, 统计, 上海市统计局
1978年以来固定资产投资按投资类别分, 经济建设, 1978年以来固定资产投资按投资类别分, 统计, 上海市统计局
主要年份能源消耗基本情况, 资源环境, 主要年份能源消耗基本情况, 统计, 上海市统计局
主要年份上海市生产总值按三次产业分, 经济建设, 主要年份上海市生产总值按三次产业分, 统计, 上海市统计局
主要年份上海市生产总值按非公有制经济分, 经济建设, 主要年份上海市生产总值按非公有制经济分, 统计, 上海市统计局
1978年以来工业总产值及其增长速度, 经济建设, 1978年以来工业总产值及其增长速度, 统计, 上海市统计局
主要年份信息产业增加值, 经济建设, 主要年份信息产业增加值, 统计, 上海市统计局
近三年工业生产者出厂价格指数（月度）, 经济建设, 近三年工业生产者出厂价格指数（月度）, 统计, 上海市统计局
近三年工业生产者购进价格指数（月度）, 经济建设, 近三年工业生产者购进价格指数（月度）, 统计, 上海市统计局
近三年全社会房地产开发总额（月度累计）, 经济建设, 近三年全社会房地产开发总额（月度累计）, 统计, 上海市统计局
近三年全社会固定资产投资总额（月度累计）, 经济建设, 近三年全社会固定资产投资总额（月度累计）, 统计, 上海市统计局
近三年商品销售总额（月度）, 经济建设, 近三年商品销售总额（月度）, 统计, 上海市统计局
近三年上海市出口总额（月度）, 经济建设, 近三年上海市出口总额（月度）, 统计, 上海市统计局
近三年上海市进口总额（月度）, 经济建设, 近三年上海市进口总额（月度）, 统计, 上海市统计局
近三年社会消费品零售额（月度）, 经济建设, 近三年社会消费品零售额（月度）, 统计, 上海市统计局
近三年外商实际投资实际到位金额总额（月度累计）, 经济建设, 近三年外商实际投资实际到位金额总额（月度累计）, 统计, 上海市统计局
第六次人口普查人口性别年龄构成, 社会发展, 第六次人口普查人口性别年龄构成, 统计, 上海市统计局
第六次人口普查出境人口, 社会发展, 第六次人口普查出境人口, 统计, 上海市统计局
第六次人口普查受教育程度人口的年龄构成, 社会发展, 第六次人口普查受教育程度人口的年龄构成, 统计, 上海市统计局
第六次人口普查少数民族人口数, 社会发展, 第六次人口普查少数民族人口数, 统计, 上海市统计局
再生资源回收网点备案信息, 资源环境, 再生资源、回收网点, 国内贸易, 上海市商务委员会
第六次人口普查民族人口, 社会发展, 第六次人口普查民族人口, 统计, 上海市统计局
第六次人口普查老年人口, 社会发展, 第六次人口普查老年人口, 统计, 上海市统计局
第六次人口普查人口密度, 社会发展, 第六次人口普查人口密度, 统计, 上海市统计局
第六次人口普查出生人口, 社会发展, 第六次人口普查出生人口, 统计, 上海市统计局
第六次人口普查死亡人口, 社会发展, 第六次人口普查死亡人口, 统计, 上海市统计局
上海市生产总值分行业统计, 经济建设, 上海市生产总值分行业统计, 统计, 上海市统计局
上海单位生产总值能耗, 经济建设, 单位生产总值能耗, 统计, 上海市统计局
上海工业总产值及其增长速度统计, 经济建设, 工业总产值、增速, 统计, 上海市统计局
上海住宅投资和竣工面积, 城市建设, 住宅投资、竣工面积, 统计, 上海市统计局
上海建筑业总产值和全员劳动生产率, 经济建设, 建筑业总产值、全员劳动生产率, 统计, 上海市统计局
上海社会消费品零售总额按经济类型分, 经济建设, 按经济类型分的零售总额, 统计, 上海市统计局
上海对外承包工程完成营业额, 经济建设, 对外承包工程、营业额, 对外贸易, 上海市商务委员会
测绘资质单位名录, 城市建设, 测绘资质单位名录、甲级、乙级、丙级、丁级, 城乡规划, 上海市规划和国土资源管理局
上海社会消费品零售总额按销售地区分, 经济建设, 按销售地区分的零售总额, 统计, 上海市统计局
上海社会消费品零售总额按行业分, 经济建设, 按行业分的零售总额, 统计, 上海市统计局
测绘行业名录, 城市建设, 测绘行业名录、规划定线测量单位、规划竣工测量单位、地理信息测量单位、互联网地图服务单位、地下管线测绘资质单位、外省市来沪测绘单位, 城乡规划, 上海市规划和国土资源管理局
上海社会消费品零售总额按用途分, 经济建设, 按用途分的零售总额, 统计, 上海市统计局
上海市生产总值统计, 经济建设, 生产总值、增速, 统计, 上海市统计局
地面沉降监测设施, 城市建设, 地面沉降监测设施、各区县地面沉降监测设施位置, 土地, 上海市规划和国土资源管理局
