数据条目, 资源分类, 关键字, 国家分类, 部门分类, 时间, 提供单位, 提供地址
上海市企事业专利工作试点示范单位名录, 教育科技, 上海市，企事业专利工作试点示范单位，名录, 知识产权, 机构职能, 2014-12-11, 上海市知识产权局, 上海市世博村路300号1号楼
上海市&ldquo;销售真牌真品，保护知识产权&rdquo;承诺单位名单, 民生服务, 销售真牌真品，保护知识产权，承诺单位名单, 知识产权, 机构职能, 2014-12-10, 上海市知识产权局, 上海市世博村路300号1号楼
上海市专利统计信息, 教育科技, 专利、统计、申请、授权, 综合类, 业务类, 2016-02-05, 上海市知识产权局, 世博村路300号1号楼
专利工作者培训人数, 教育科技, 专利工作者，培训人数, 知识产权, 机构职能, 2014-12-11, 上海市知识产权局, 上海市世博村路300号1号楼
专利工程师人数, 教育科技, 专利工程师，人数, 知识产权, 机构职能, 2014-12-11, 上海市知识产权局, 上海市世博村路300号1号楼
上海市专利代理机构名录, 教育科技, 上海市，专利代理机构，名录, 知识产权, 机构职能, 2014-12-11, 上海市知识产权局, 上海市世博村路300号1号楼
全市道路运输驾驶员从业资格培训企业名录, 道路交通, 全市道路运输驾驶员从业资格培训企业名称、联系方式, 交通运输, 业务类, 2012-11-26, 上海市交通委员会, 大沽路100号
全市普通机动车驾驶员培训企业名录, 道路交通, 全市普通机动车驾驶员培训企业名称、联系方式, 交通运输, 业务类, 2012-11-26, 上海市交通委员会, 大沽路100号
全市道路危险货物运输企业名录, 道路交通, 全市道路危险货物运输企业名称、联系方式, 交通运输, 业务类, 2012-11-26, 上海市交通委员会, 大沽路100号
全市汽车快修企业名录, 道路交通, 全市汽车快修企业名录、企业许可号号、企业名称、企业地址, 交通运输, 业务类, 2012-12-17, 上海市交通委员会, 大沽路100号
上海市工程咨询单位资格名录（央企）, 经济建设, 工程咨询单位, 综合类, 2016-03-21, 上海市发展和改革委员会, 上海市黄浦区人民大道200号
上海市工程咨询单位资格名录（丙级）, 经济建设, 工程咨询单位, 综合类, 2016-03-21, 上海市发展和改革委员会, 上海市黄浦区人民大道200号
上海市工程咨询单位资格名录（甲级）, 经济建设, 工程咨询单位, 综合类, 2016-03-21, 上海市发展和改革委员会, 上海市黄浦区人民大道200号
上海市工程咨询单位资格名录（乙级）, 经济建设, 工程咨询单位, 综合类, 2016-03-21, 上海市发展和改革委员会, 上海市黄浦区人民大道200号
全市国有资产评估情况统计信息, 经济建设, 评估, 综合政务类, 机构职能, 2015-10-21, 上海市国有资产监督管理委员会, 大沽路100号
市国有资产统计信息, 经济建设, 地方国资总量、资产、负债、营业收入, 经济管理综合类, 机构职能, 2015-10-21, 上海市国有资产监督管理委员会, 上海市黄浦区大沽路100号
全社会用电量, 资源环境, 本市全社会月度用电量、分产业用电量, 电力, 业务类, 2014-11-07, 上海市经济和信息化委员会, 上海市世博村路300号5号楼
供电服务机构, 机构团体, 机构名称、地址、服务时间、服务内容、服务范围、联系电话, 工业, 业务类, 2014-11-07, 上海市经济和信息化委员会, 上海市世博村路300号5号楼
农家书屋, 文化休闲, 农家书屋, 新闻出版, 业务类, 2016-04-18, 上海市新闻出版局, http://cbj.sh.gov.cn/govInfo/resgov/resgovpub.jsp
作品著作权登记, 文化休闲, 作品著作权, 新闻出版, 业务类, 2016-04-18, 上海市新闻出版局, http://cbj.sh.gov.cn/govInfo/resgov/resgovpub.jsp
出版物发行单位基本信息, 文化休闲, 出版物发行, 新闻出版, 业务类, 2016-04-18, 上海市新闻出版局, http://cbj.sh.gov.cn/govInfo/resgov/resgovpub.jsp
复制企业基本信息, 文化休闲, 复制企业, 新闻出版, 业务类, 2016-04-18, 上海市新闻出版局, http://cbj.sh.gov.cn/govInfo/resgov/resgovpub.jsp
本市医疗机构医疗服务项目和价格, 卫生健康, 医疗卫生、价格, 物价, 机构职能, 2015-10-19, 上海市发展和改革委员会, 上海市黄浦区人民大道200号o
危险化学品建设项目信息, 公共安全, 危险化学品建设项目, 综合政务类, 机构职能, 2015-12-15, 上海市安全生产监督管理局, http://10.123.9.18/ajjpt
危险化学品目录, 公共安全, 危险化学品, 综合政务类, 机构职能, 2015-03-09, 上海市安全生产监督管理局, 上海市安全生产监督管理
危险化学品生产企业信息, 公共安全, 危化品生产许可证, 综合政务类, 机构职能, 2015-12-15, 上海市安全生产监督管理局, http://10.123.9.18/ajjpt
乙级安全评价机构, 公共安全, 乙级安全评价机构, 综合类, 机构职能, 2015-03-05, 上海市安全生产监督管理局, 上海市安全生产监督管理局
帮困粮油供应点信息, 民生服务, 帮困，粮油，供应点, 商贸综合类, 业务类, 2015-11-04, 上海市粮食局, 南苏州路1455号2号楼5楼
副补发放点信息, 民生服务, 副食品，补贴，发放点, 民政综合类, 业务类, 2015-11-04, 上海市粮食局, 南苏州路1455号2号楼5楼
应急零售网点信息, 民生服务, 粮油，应急，网点, 商贸综合类, 业务类, 2015-11-05, 上海市粮食局, 南苏州路1455号2号楼5楼
粮食收购点信息, 经济建设, 粮食，收购点, 商贸综合类, 业务类, 2015-11-04, 上海市粮食局, 南苏州路1455号2号楼5楼
生产性服务业功能区, 经济建设, 功能区名称、所在区县、四至范围、规划面积、批复设立时间、功能定位, 工业, 业务类, 2014-11-07, 上海市经济和信息化委员会, 上海市世博村路300号5号楼
旅游咨询中心, 文化休闲, 旅游，咨询服务中心, 旅游, 其他类, 2015-01-13, 上海市旅游局, 大沽路100号10楼
